chart_pos,artist,title,release_year,country,link
78,Bicep,Orca,2017,UK,https://www.youtube.com/embed/-wYpDez5-eU
77,"The Source Experience","Release It",1993,SE,https://www.youtube.com/embed/h4P73t-6FKo
76,Slowdive,"Sugar for the Pill",2017,UK,https://www.youtube.com/embed/BxwAPBxc0lU
75,"T Q D","Three Eyes",2017,UK,http://bandcamp.com/EmbeddedPlayer/album=959247280/size=large/bgcol=333333/linkcol=ffffff/tracklist=false/artwork=small/track=2537223362/transparent=true/
74,Bicep,Glue,2017,UK,https://www.youtube.com/embed/A7ZxRs45tTg
73,"Kelly Lee Owens","More Than A Woman",2017,UK,https://www.youtube.com/embed/9UkpsMXR5lA
72,WhoMadeWho,"Heads Above (Maceo Plex Dub)",2014,DK/US,https://www.youtube.com/embed/yijKfP9u6pw
71,"The Source Experience","Point Zero",1994,SE,https://www.youtube.com/embed/B5NP4LNTKfU
70,"T Q D",Touch,2017,UK,https://www.youtube.com/embed/EGoYsuxkTUU
69,DJD,Misled,2016,UK,https://www.youtube.com/embed/htfCV7bSLbs
68,Dubzta,"White Dee (Dr. Oscillator Remix)",2015,UK,https://bandcamp.com/EmbeddedPlayer/album=2757927924/size=large/bgcol=333333/linkcol=ffffff/tracklist=false/artwork=small/track=1755298397/transparent=true/
67,"Minor Science",Volumes,2017,UK,https://www.youtube.com/embed/dC6neoVnsGw
66,"4 Horsemen of the Apocalypse","Drowning in Her",1993,UK,https://www.youtube.com/embed/ln_L6995T4E
65,"Deadbeat UK","What I Need (Notion Remix)",2015,UK,https://bandcamp.com/EmbeddedPlayer/album=2757927924/size=large/bgcol=333333/linkcol=ffffff/tracklist=false/artwork=small/track=3008168105/transparent=true/
64,"MC Boing","Dance Floor",2017,UK,https://www.youtube.com/embed/fbXLrVr2KC4
63,Differ-Ent,"Fasten 8 Shun",2017,US,https://www.youtube.com/embed/D7PTECEW_XM
62,"DJ SS",Black,1995,UK,https://www.youtube.com/embed/ist_44jwxnk
61,Lone,"Vapour Trail",2016,UK,https://www.youtube.com/embed/3ndN_CqJJcU
60,Youandewan,"10405 (Alice)",2016,UK,https://www.youtube.com/embed/nz4HyA0Ig1A
59,"Copy Paste Soul","Stuck (Dubspeeka Remix)",2015,UK,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/185991418&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=true&amp;show_comments=false&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=false&amp;visual=true
58,Emika,Forever,2016,UK,https://www.youtube.com/embed/88sseeEe4uo
57,"Superior Cornrows feat. Forca","Can U Ear Me Yo",2017,UK,https://bandcamp.com/EmbeddedPlayer/album=3238169518/size=large/bgcol=333333/linkcol=ffffff/tracklist=false/artwork=small/track=1708182528/transparent=true/
56,"Ben Klock",Subzero,2009,DE,https://www.youtube.com/embed/5IrHzrg4qdQ
55,"Lethal Bizzle","Pow 2011 (Big Beat Productions Remix)",2011,UK,https://www.youtube.com/embed/KaS0DIJWU4I
54,"Aisha Devi","Mazdâ",2015,CH,https://www.youtube.com/embed/wvp4EBZTtKs
53,Differ-Ent,"Drum Addict",2017,US,https://www.youtube.com/embed/bQk5w0PSsNE
52,"Ability II",Pressure,1990,UK,https://www.youtube.com/embed/TBgztBW01jg
51,nthng,"Vision Us",2015,NL,https://www.youtube.com/embed/oSBOcjQoTUU
50,Arrakis,"The Spice (New Club Mix)",1998,DE,https://www.youtube.com/embed/4vxmziuZkfw
49,"T Q D","Vibsing Ting",2017,UK,https://www.youtube.com/embed/EVXIX4URzGI
48,"Awesome 3","Don't Go (Second Movement)",1992,UK,https://www.youtube.com/embed/tCVlC017W5w
47,"Steve Moore","Unconquered Sun",2017,US,
46,E.R.P.,"Ancient Light",2016,US,https://www.youtube.com/embed/SGD8EXeUGus
45,Slowdive,"Star Roving",2017,UK,https://www.youtube.com/embed/ogCih4OavoY
44,"The Groupies","The Groupies Are Insane",2016,NL,https://www.youtube.com/embed/Bu1chmAO9MA
43,Bicep,Rain,2017,UK,https://www.youtube.com/embed/46N0PgjFqyw
42,"Project X",Stone,2016,UK,https://www.youtube.com/embed/MEwPYfApDKw
41,Sensitive,"God Stepped Out (Casseopaya Remix)",1994,DE,https://www.youtube.com/embed/XXGTs3KkEqU
40,"Flava D",Bleeding,2016,UK,https://www.youtube.com/embed/f43agWjkogI
39,MssingNo,Inta,2016,UK,https://www.youtube.com/embed/VWMv-BGLDUY
38,Tell,"Y'all Feel That Honey (Paradise Mix)",2017,FR,https://www.youtube.com/embed/oYcQPWyOyhM
37,"Flava D",Whistler,2016,UK,https://www.youtube.com/embed/-qF3gi_PFCo
36,Arrakis,"Aira Force (Main Mix)",1998,UK,https://www.youtube.com/embed/pFuy6RJ-jtA
35,"Naz AKA Naz","Organised Crime (Killer Mix)",1992,UK,https://www.youtube.com/embed/7kE3k9NpIC8
34,"Foul Play","Being With You (Foul Play Remix)",1994,UK,https://www.youtube.com/embed/tye5M9W1Ce0
33,"Danny Sunshine","Never Thought",2017,UK,https://www.youtube.com/embed/lKicfP43gkE
32,"Cup & String feat. Sarah Pellicano","You Had It",2016,AU/UK,https://www.youtube.com/embed/8b20AQlRs0M
31,"Mary Ocher","The Endlessness (Song For Young Xenophobes)",2017,IL/RU,https://www.youtube.com/embed/umkUUrq0mHs
30,Spooky,Spartan,2010,UK,https://www.youtube.com/embed/5DFw_CSQqFs
29,"Chris Cowie",Rainstar,2002,UK,https://www.youtube.com/embed/e06p1sxM5-g
28,nthng,Touches,2017,NL,https://www.youtube.com/embed/oiU6yyKlKok
27,"Palms Trax",Equation,2013,UK,https://www.youtube.com/embed/_cX56dEVHTI
26,"Vana Imago",Tesi,1995,IT,https://www.youtube.com/embed/qeLREu_fW_E
25,"Foul Play","Music Is The Key",1994,UK,https://www.youtube.com/embed/d9FhbGHgrns
24,"Danny Weed","Creeper (Royal-T Remix)",2012,UK,https://www.youtube.com/embed/76cmQEitn64
23,Slowdive,"No Longer Making Time",2017,UK,https://open.spotify.com/embed/track/4kAflSfOBf6Wv5ZD5abUvZ
22,"Under Black Helmet","Have You Ever Had a Dream",2015,LT,https://www.youtube.com/embed/2L4B1dnoROw
21,"Marquis Hawkes","The Phoenix Part 1",2017,UK,https://www.youtube.com/embed/W3hrT3tgNvk
20,"Meteor Seven","Signs Of Life",1994,DE,https://www.youtube.com/embed/Bw3W-KaDky4
19,"Marquis Hawkes","The Phoenix Part 2",2017,UK,https://www.youtube.com/embed/qeIkcPGLJag
18,E.R.P.,"Eagle Nebula",2016,US,https://www.youtube.com/embed/on12JNQEkmw
17,easyFun,Fanta,2015,UK,https://www.youtube.com/embed/HBHJ0XGZfLs
16,MssingNo,Fones,2016,UK,https://www.youtube.com/embed/aFF_aA3ueHM
15,"Ital Tek",Redeemer,2016,UK,https://www.youtube.com/embed/kTlB6lpikBI
14,Fridge,"Paradise (Nu-Gray Mix)",1998,DE,https://www.youtube.com/embed/x6V_5qxtf3o
13,easyFun,"Full Circle",2015,UK,https://www.youtube.com/embed/fgf7cUHiCj8
12,"Danny L. Harle","Me4U (A. G. Cook Remix)",2017,UK,https://www.youtube.com/embed/If77CW_aZsY
11,"Danny L. Harle",1UL,2017,UK,https://www.youtube.com/embed/-3E536KwvuY
10,"Shanti Celeste",Nu4him,2015,CL,https://www.youtube.com/embed/RZlS5HPSs_k
9,"T Q D","Only One",2017,UK,https://www.youtube.com/embed/k0uPKimvesY
8,Bicep,"Feel It",2013,UK,https://www.youtube.com/embed/bg0KlRyi40c
7,"Vana Imago",Antitesi,1995,IT,https://www.youtube.com/embed/r_uHa_PET9M
6,nthng,"The Traveller",2017,NL,https://www.youtube.com/embed/Ap6fP8Aqbvw
5,MssingNo,Scope,2016,UK,https://www.youtube.com/embed/XF3pG6DndYs
4,"Foul Play","Finest Illusion",1993,UK,https://www.youtube.com/embed/A8La6y70O8s
3,"Tuff City Kids feat. Kelley Polar",Aska,2016,DE/US,https://www.youtube.com/embed/F_4MVBJiLNs
2,MssingNo,Dead,2016,UK,https://www.youtube.com/embed/FPp07rICGJU
1,nthng,1996,2015,NL,https://www.youtube.com/embed/J8eb5AJKEfs
