chart_pos,artist,title,release_year,country,link
100,"Evigt Mörker",Beaivi,2015,SE,https://www.youtube.com/embed/Rrwhb9xAM30
99,"Flava D",Searching,2016,UK,https://www.youtube.com/embed/5V8j4wPwbrU
98,"Deadbeat UK",Bleak,2015,UK,https://www.youtube.com/embed/_ap7KSDB2As
97,"Fatima Al Qadiri","Blood Moon",2016,KW,https://www.youtube.com/embed/6tzZlwTjf94
96,Spooky,"Spartan (Mosca Dub)",2011,UK,https://www.youtube.com/embed/NxEKq_nMQEM
95,Lauer,Tearsh,2016,DE,https://www.youtube.com/embed/3SyeqjcrbFw
94,nthng,Last,2017,NL,https://www.youtube.com/embed/iRtT_xUj-0A
93,Nova,"Soul Sweeper",2016,UK,https://www.youtube.com/embed/I8DP4M3oy88
92,"P Money","Slang Like This",2010,UK,https://www.youtube.com/embed/2fIrIg8pSV4
91,Urbani,Undefined,2016,UK,https://www.youtube.com/embed/H5PNGhyRxR0
90,Pictureplane,"Pure War",2015,US,https://www.youtube.com/embed/cG9Yoaav03M
89,nthng,"Blazer (Assault Mix)",2017,NL,https://www.youtube.com/embed/2IjN9RhzWFM
88,"Black Acid",Ariella,1994,UK,https://www.youtube.com/embed/UbJLvk8hwf0
87,Bicep,Kites,2017,UK,https://www.youtube.com/embed/O5Osa4sJEro
86,"Vana Imago",Sintesi,1995,IT,https://www.youtube.com/embed/k7aDBbW4O0U
85,Pictureplane,"Harsh Realm",2015,US,https://www.youtube.com/embed/MCGDiQI-llo
84,"Life Sim","Lightning Lipgloss Life",2017,UK,https://www.youtube.com/embed/uMOOTCkB9Bw
83,"Naz AKA Naz","Started Again (Killer Mix)",1993,UK,https://www.youtube.com/embed/_Y12ft6SM8w
82,Pictureplane,"Street Pressure",2015,US,https://www.youtube.com/embed/r3aqZZU3EUw
81,"T Q D feat. P Money",Ghosts,2017,UK,https://www.youtube.com/embed/8CFkzNNUueg
80,"Blue Alphabet",Cybertrance,1994,BE,https://www.youtube.com/embed/3IhMZPpHfZY
79,nthng,"In My Dreams",2017,NL,https://www.youtube.com/embed/J0NoYBchzdQ
