code,name,num_tracks
UK,"United Kingdom",63
US,"United States",10
NL,Netherlands,8
DE,Germany,7
IT,Italy,3
SE,Sweden,3
AU,Australia,1
BE,Belgium,1
CH,Switzerland,1
CL,Chile,1
DK,Denmark,1
FR,France,1
IL,Israel,1
KW,Kuwait,1
LT,Lithuania,1
RU,Russia,1
