code,name,num_tracks
UK,"United Kingdom",53
BE,Belgium,11
US,"United States",8
AU,Australia,4
DE,Germany,4
FR,France,4
RU,Russia,4
CA,Canada,3
NL,Netherlands,3
NO,Norway,3
PL,Poland,3
IT,Italy,2
LV,Latvia,2
SK,Slovakia,2
BR,Brazil,1
CH,Switzerland,1
DK,Denmark,1
EG,Egypt,1
FI,Finland,1
NA,Namibia,1
TR,Turkey,1
