code,name,num_tracks
IT,Italy,12
SE,Sweden,12
NL,Netherlands,9
UK,"United Kingdom",5
FR,France,2
IE,Ireland,2
US,"United States",2
AT,Austria,1
AU,Australia,1
CA,Canada,1
CN,"China, People's Republic of",1
DK,Denmark,1
FI,Finland,1
JP,Japan,1
PL,Poland,1
