code,name,num_tracks
SE,Sweden,13
US,"United States",10
DE,Germany,7
NL,Netherlands,5
FR,France,4
IT,Italy,4
UK,"United Kingdom",4
NO,Norway,3
PL,Poland,2
CA,Canada,1
