code,name,num_tracks
SE,Sweden,10
NL,Netherlands,6
US,"United States",5
CA,Canada,3
DE,Germany,3
IE,Ireland,3
AU,Australia,2
DK,Denmark,2
FR,France,2
FI,Finland,1
IT,Italy,1
RU,Russia,1
