release_year,num_tracks
2007,24
2006,22
1984,9
2004,7
1985,6
1982,6
2005,5
1983,5
1986,3
2008,2
2003,2
1988,2
1980,2
2002,1
1994,1
1981,1
1979,1
1978,1
