code,name,num_tracks
UK,"United Kingdom",34
US,"United States",31
SE,Sweden,13
DE,Germany,8
IT,Italy,7
CA,Canada,4
FR,France,3
RU,Russia,3
FI,Finland,2
HU,Hungary,2
JP,Japan,2
NL,Netherlands,2
CL,Chile,1
HR,Croatia,1
IE,Ireland,1
IS,Iceland,1
KR,"Korea, South",1
NO,Norway,1
PH,Philippines,1
