release_year,num_tracks
2019,25
2018,17
2017,16
2016,9
2015,4
2010,3
2013,2
2012,2
2008,2
2005,2
2004,2
1995,2
1994,2
2014,1
2009,1
2007,1
2002,1
2001,1
2000,1
1999,1
1997,1
1993,1
1988,1
1987,1
1981,1
