code,name,num_tracks
US,"United States",28
SE,Sweden,13
DE,Germany,4
CA,Canada,3
NO,Norway,3
FR,France,2
NL,Netherlands,2
ZA,"South Africa",2
BE,Belgium,1
DK,Denmark,1
ES,Spain,1
HU,Hungary,1
IN,India,1
IT,Italy,1
LB,Lebanon,1
