code,name,num_tracks
UK,"United Kingdom",34
FR,France,15
US,"United States",15
DE,Germany,11
IT,Italy,6
NL,Netherlands,6
SE,Sweden,6
TR,Turkey,4
AU,Australia,2
NO,Norway,2
PL,Poland,2
RU,Russia,2
BE,Belgium,1
CA,Canada,1
DK,Denmark,1
EE,Estonia,1
FI,Finland,1
IL,Israel,1
SK,Slovakia,1
SY,Syria,1
