code,name,num_tracks
US,"United States",27
DE,Germany,12
CA,Canada,10
FR,France,4
ES,Spain,3
IT,Italy,3
NL,Netherlands,3
SE,Sweden,3
IS,Iceland,2
FI,Finland,1
GE,Georgia,1
HU,Hungary,1
IN,India,1
LV,Latvia,1
NO,Norway,1
NZ,"New Zealand",1
UA,Ukraine,1
