chart_pos,artist,title,release_year,country,link
100,Jakka-B,"Lost In The Rhythm",2017,UK,https://www.youtube.com/embed/CeiHgCiUz-Q
99,"Let's Eat Grandma","Hot Pink",2018,UK,https://www.youtube.com/embed/hXUVQfleU0o
98,"Teengirl Fantasy","Crash Soft",2017,US,https://www.youtube.com/embed/LOaDLdzC45g
97,Robyn,Honey,2018,SE,https://www.youtube.com/embed/Mru9GG3ur9U
96,"Kim Petras","Close Your Eyes",2018,DE/US,https://www.youtube.com/embed/YslddHq0ins
95,"Black Ivory",Mainline,1979,US,https://www.youtube.com/embed/clwd4hSHSjM
94,"Kim Petras","In The Next Life",2018,DE/US,https://www.youtube.com/embed/5kilftdzgrM
93,"Hercules & Love Affair Feat. John Grant","I Try To Talk To You",2014,US,https://www.youtube.com/embed/BTFf8jqPNu0
92,Nightwish,"Ghost Love Score",2004,FI,https://www.youtube.com/embed/JYjIlHWBAVo
91,Reso,"Aural Animation",2018,UK,https://www.youtube.com/embed/xZiDlOj-b6Q
90,"Teengirl Fantasy feat. Khalif Jones",Seeds,2017,US,https://www.youtube.com/embed/bHBDW4USvb8
89,Objekt,Ganzfeld,2014,UK,https://www.youtube.com/embed/sGYzpBoxa-w
88,"Julee Cruise","In My Other World",1993,US,https://www.youtube.com/embed/PZM7fFBqhs0
87,"Against All Logic","Some Kind Of Game",2018,CL/US,https://www.youtube.com/embed/9Ngoh3kqdLI
86,"Marquis Hawkes & Jamie Lidell","We Should Be Free (Hawkes Dub)",2018,UK,https://www.youtube.com/embed/W5gemyLkBu8
85,"John Maus",Touchdown,2017,US,https://www.youtube.com/embed/QfFCb1y0WfA
84,"Mister Shifter",Dreada,2018,US,https://www.youtube.com/embed/Md7cela3oX4
83,"Randy Crawford","Just To Keep You Satisfied",1979,US,https://www.youtube.com/embed/T4OfyAyuCfo
82,"Kedr Livanskiy",Ariadna,2017,RU,https://www.youtube.com/embed/3kM-NXin1Ec
81,"Special Request","Brainstorm (Gerd Janson & Shan House Mix)",2018,DE/UK,https://www.youtube.com/embed/S6yIsFfo6oY
80,"Both Hands Free",Phobos,1976,UK,https://www.youtube.com/embed/YjM5Kp5CyFw
