chart_pos,artist,title,release_year,country,link
79,"Hannah Diamond","Concrete Angel",2017,UK,https://www.youtube.com/embed/aYj7CK1DhEQ
78,Reso,Avenoir,2018,UK,https://www.youtube.com/embed/0c8fvjPntXA
77,"Plus System","This Is How We Do It",2004,UK,https://www.youtube.com/embed/9QJn6q4nHhw
76,Popsimonova,Drive,2015,HR,https://www.youtube.com/embed/7tJ_eddKzqA
75,"Tommy 86 feat. Sally Shapiro","Why Did I Say Goodbye",2014,FR/SE,https://www.youtube.com/embed/8qaFr9LW9jA
74,"Julee Cruise","Questions in a World of Blue",1993,US,https://www.youtube.com/embed/40K_-akYm1w
73,"Rival Consoles",Untravel,2018,UK,https://www.youtube.com/embed/cxxIN6fyj58
72,"Imre Kiss","You And Me Are The Same",2018,HU,https://www.youtube.com/embed/bXw1Z3vPy94
71,"DJ Seinfeld","With My Luv",2017,SE,https://www.youtube.com/embed/mZXm9rdNjGs
70,Babymetal,Iine!,2014,JP,https://www.youtube.com/embed/qVdBBOpSoN4
69,"Caterina Barbieri","Scratches on the Readable Surface",2017,IT,https://www.youtube.com/embed/u9qo_sRl-ig
68,Rebekah,"Waiting For You",2018,UK,https://www.youtube.com/embed/Kg5HKmLSfTo
67,"ionnalee feat. Jamie Irrepressible","Dunes of Sand",2018,SE/UK,https://www.youtube.com/embed/6wNVHYVqKF0
66,"Tangerine Dream","Sensing Elements",2017,DE,https://www.youtube.com/embed/18-UfWJDQWI
65,"Brisk & Vinylgroover","Checkin' Da Cutz (M-Project & Liqo Remix)",2017,UK,https://www.youtube.com/embed/r398R1CtCBY
64,Robyn,"Send To Robin Immediately",2018,SE,https://www.youtube.com/embed/L9rEnHijFpQ
63,"Paul Van Dyk","My World (Florjn Mix)",1994,DE,https://www.youtube.com/embed/gOTrKMPVMck
62,"Giuseppe Ottaviani","Ozone (Craig Connelly Extended Remix)",2018,IT/UK,https://www.youtube.com/embed/kSwvpZ0H9ys
61,"Hannah Diamond","Make Believe",2016,UK,https://www.youtube.com/embed/um0SzCIG2vA
60,"DJ Q feat. Louise Williams","Through The Night (Deckstar Vocal 2step Mix)",2013,UK,https://www.youtube.com/embed/A_Hikk9p0aI
59,Reso,Kodama,2017,UK,https://www.youtube.com/embed/FRLxZwfhLvA
58,"The Blaze",Territory,2017,FR,https://www.youtube.com/embed/54fea7wuV6s
57,"Microwave Prince","Microwavin'",1993,DE,https://www.youtube.com/embed/FrnJt4ZDRrA
56,"Jimmy Edgar feat. Dawn","Burn So Deep (Extended Mix)",2018,US,https://www.youtube.com/embed/RPXcsBZHPkE
55,"Alice Coltrane","Keshava Murahara",2017,US,https://www.youtube.com/embed/lKUJdFsmzpQ
54,"Trisomie 21","The Last Song",1986,FR,https://www.youtube.com/embed/A3ZVZVMIG7g
53,"John O'Callaghan feat. Josie","Out Of Nowhere (Giuseppe Ottaviani Extended Remix)",2018,IE/IT/US,https://www.youtube.com/embed/V5Otw6-R0T4
52,"Marquis Hawkes feat. Jocelyn Brown","I'm So Glad (Paul Woolford Rework)",2016,UK/US,https://www.youtube.com/embed/gQJdnOrHiGk
51,Nadja,"In The Shadow Of The Wing Of The Thing Too Big To Be Seen",2018,CA,https://www.youtube.com/embed/3_G9MEz25O0
50,"Black Loops","Get Lost",2016,IT,https://www.youtube.com/embed/Kmq0PD8RdQE
49,"Giuseppe Ottaviani feat. Hypaton","Space Unicorn",2018,IT,https://www.youtube.com/embed/OqAcJrGk52U
48,Babymetal,Megitsune,2014,JP,https://www.youtube.com/embed/cK3NMZAUKGw
47,"Blonde feat. Alex Newell","All Cried Out",2015,UK/US,https://www.youtube.com/embed/xU9PpGecFuM
46,"Fraunhofer Diffraction","Kvrt In Space",2013,RU,https://www.youtube.com/embed/oht-ah0WFYs
45,"Charli XCX feat. Kim Petras and Jay Park","Unlock It",2017,DE/KR/UK/US,https://www.youtube.com/embed/KP0r5LSbWL4
44,Austra,"American Science",2014,US,https://www.youtube.com/embed/UCbcrK1bI5c
43,Nightwish,"Dark Chest of Wonders",2004,FI,https://www.youtube.com/embed/NzWizk3e4MM
42,Robyn,"Because It's In The Music",2018,SE,https://www.youtube.com/embed/-sutgG3n9Ns
41,CFCF,"Cell Site in Somerset",2018,CA,https://www.youtube.com/embed/U38hV7FsYiU
40,"Marquis Hawkes feat. Ursula Rucker","Don't U (Edit)",2018,UK/US,https://www.youtube.com/embed/z5cRRUyhtPo
39,Legowelt,"Axumisia V S612",2017,NL,https://www.youtube.com/embed/4en5MpXLaak
38,"DJ Seinfeld","Come Thru For U",2017,SE,https://www.youtube.com/embed/mY4l-plK3YQ
37,"Venetian Snares","Everything About You Is Special",2016,CA,https://www.youtube.com/embed/IuI6MMUtNdU
36,Collapse,"My Love (Ambient Drops)",1991,UK,https://www.youtube.com/embed/JYXxTdmeCt4
35,"Fraunhofer Diffraction","My Baby",2013,RU,https://www.youtube.com/embed/UMHv3TM8CNE
34,"DJ DJ Booth","Heaven (A.G. Cook Remix)",2013,UK,https://www.youtube.com/embed/hnqSuGu0H5Y
33,"Lords of Midnite","Drown in Ur Love",2013,NL,https://www.youtube.com/embed/AT_aK9SJOIM
32,"Null+Void feat. Dave Gahan","Where I Wait",2017,UK/US,https://www.youtube.com/embed/xUSJ4XK2UXg
31,Farah,"Into Eternity (Main)",2013,US,https://www.youtube.com/embed/6iOP1m1hV0k
30,"DJ Seinfeld","I Saw Her Kiss Him In Front Of Me And I Was Like Wtf?",2017,SE,https://www.youtube.com/embed/2ReUsuGqLHs
29,"Teengirl Fantasy",Star-Rise,2017,US,https://www.youtube.com/embed/IpEgB0I3o0A
28,"Caterina Barbieri",SOTRS,2017,IT,https://www.youtube.com/embed/0Olm9nsQgNw
27,"DJ Seinfeld","I Hope I Sleep Tonight",2017,SE,https://www.youtube.com/embed/Qsq8gbPkdM8
26,"Alice Coltrane","Krishna Krishna",1982,US,https://www.youtube.com/embed/mITomCmCJEg
25,"Cold Cave",Glory,2017,US,https://www.youtube.com/embed/68F5HwpnTDA
24,"John Maus","Dumpster Baby",2018,US,https://www.youtube.com/embed/blGtCfn-COE
23,"DJ Seinfeld","Too Late For U And M1",2017,SE,https://www.youtube.com/embed/OaEnKY7TIbo
22,"K Rizz","Imagine If",2014,PH,https://www.youtube.com/embed/qNwo40kHnfU
21,"A. G. Cook",Superstar,2016,UK,https://www.youtube.com/embed/8RYudOmSk80
20,"Nabihah Iqbal","Zone 1 to 6000",2017,UK,https://www.youtube.com/embed/ZtplNd_XVak
19,"DJ Seinfeld","U Hold Me Without Touch",2017,SE,https://www.youtube.com/embed/4fsPubQxuZs
18,"Nouvelle Phénomène","Cruel Game (Vanzetti & Sacco Remix)",2015,HU,https://www.youtube.com/embed/gbF45zMZsM4
17,"Caterina Barbieri","Gravity that Binds",2017,IT,https://www.youtube.com/embed/-RUUU53HVtA
16,"Hannah Diamond","Never Again",2017,UK,https://www.youtube.com/embed/9XQGDYIIj6Q
15,"Hannah Diamond",Hi,2016,UK,https://www.youtube.com/embed/mKztreA6e7Y
14,"Hannah Diamond","Fade Away",2016,UK,https://www.youtube.com/embed/vmgp7MHzmBM
13,"Kælan Mikla","Kalt (Live)",2016,IS,https://www.youtube.com/embed/ImyPz4tqPFU
12,"Charli XCX feat. Hannah Diamond",Paradise,2016,UK,https://www.youtube.com/embed/kuoHLXwmSJA
11,Converge,"All We Love We Leave Behind",2012,US,https://www.youtube.com/embed/akG2cFldO6I
10,"Da Tweekaz","Hewwego (Darren Styles Remix)",2016,NO/UK,https://www.youtube.com/embed/oh9y7hXQhuA
9,Nadja,Sunwell,2018,CA,https://www.youtube.com/embed/3jGXIspa0SQ
8,"DJ Seinfeld",U,2017,SE,https://www.youtube.com/embed/g6eu1Wb8CVE
7,"Drab Majesty","Dot in the Sky",2017,US,https://www.youtube.com/embed/9fYDIpvj57g
6,"Alice Coltrane","Journey to Satchidananda",2017,US,https://www.youtube.com/embed/y7jqfgSLQDE
5,"John Maus","Drinking Song",2018,US,https://www.youtube.com/embed/Wrft1JsFAKg
4,"Kim Petras","I Don't Want It At All",2017,DE/US,https://www.youtube.com/embed/JC9FA8lZRy8
3,"Technikore & UFO feat. Scandal",Always,2011,UK,https://www.youtube.com/embed/AsmnLt1_F-I
2,"DJ Seinfeld","Time Spent Away From U",2017,SE,https://www.youtube.com/embed/RUkLOHFRbTI
1,"Poisecore feat. Hannah Stacia","Lost In The Music",2017,UK,https://www.youtube.com/embed/tSEMrJswQJA
