code,name,num_tracks
US,"United States",33
UK,"United Kingdom",26
SE,Sweden,11
DE,Germany,9
NL,Netherlands,9
IT,Italy,6
CA,Canada,4
FI,Finland,4
FR,France,4
BE,Belgium,2
ES,Spain,2
AU,Australia,1
IL,Israel,1
NO,Norway,1
ZA,"South Africa",1
