release_year,num_tracks
2009,43
2008,23
2007,8
2006,4
2001,2
1986,2
1985,2
1984,2
1983,2
1977,2
2005,1
2004,1
1997,1
1994,1
1989,1
1982,1
1981,1
1976,1
1975,1
1968,1
