chart_pos,artist,title,release_year,country,link
70,"Morgan Geist","The Shore",2008,US,https://www.youtube.com/embed/P4ZaPwQdi74
69,"Sally Shapiro","Looking at the Stars",2009,SE,https://www.youtube.com/embed/cT5Telf6oAE
68,Motiivi:Tuntematon,"I don't Feel Good (When You're not Around)",2007,FI,https://www.youtube.com/embed/SUDRGiCTjyg
67,"Mathew Jonson","When Love Feels Like Crying",2009,CA,https://www.youtube.com/embed/uwe3SytFbGw
66,"Hieroglyphic Being","A Time Warp Synthesizer",2006,US,
65,"Mount Kimbie",Maybes,2009,UK,https://www.youtube.com/embed/cfeVDzO-FqY
64,Spewis,"First and Last",2009,UK,
63,"The Supremes","Let Yourself Go",1976,US,https://www.youtube.com/embed/s07mfr0rlP4
62,"Sally Shapiro",Miracle,2009,SE,https://www.youtube.com/embed/fBDNK7nkQZ8
61,Motiivi:Tuntematon,1939,2005,FI,https://www.youtube.com/embed/XZULH4KL2Ho
60,$tinkworx,Coelacanth,2008,US,https://www.youtube.com/embed/4QLQsq1GloU
59,"Bogdan Irkük a.k.a. Bulgari","Space Reflecting on the Bosporos",2008,SE,https://www.youtube.com/embed/bGMUZW58mq8
58,Moderat,Seamonkey,2009,DE,https://www.youtube.com/embed/rrXxSfiiF3k
57,"David Joseph","You Can't Hide (Your Love From Me)",1983,UK,https://www.youtube.com/embed/gdzvu6bt37w
56,"Ronnie Dyson","All Over Your Face",1983,US,https://www.youtube.com/embed/DLttThUsFOI
55,"Keen K & Dorian E","Lost But Not Found",2007,DE,
54,"Gavin Russom","The Fusion Point",2009,US,
53,"Rude 66","No One Had a Clue",2008,NL,https://www.youtube.com/embed/atQSF46FfJ8
52,"The Naked Hearts","Only for You (Home Video Remix)",2009,US,
51,"Real To Reel","Love Me Like This (Floating Points Remix)",2009,UK/US,https://www.youtube.com/embed/X-xNxzmNtjs
50,"Rude 66",Fishbait,2008,NL,
49,Dupont,"Unknown Airspace",2004,SE,https://www.youtube.com/embed/LXpe_ejC31g
48,"Ada feat. Raz Ohara",Lovestoned,2009,DE,https://www.youtube.com/embed/CUvhfov2nFQ
47,Kaos,"Definition of Love",1989,US,https://www.youtube.com/embed/lqzBOf1rFQo
46,Gatekeeper,"Optimus Maximus",2009,US,https://www.youtube.com/embed/C_0JftWlyf4
45,"Manfred Mann","Just for Me",1968,UK,https://www.youtube.com/embed/JK0MvIKs6LI
44,Moreno,"I Want to be Your Love Today",1986,IT,https://www.youtube.com/embed/pRg3xARzjIA
43,Koxo,"Step by Step",1982,IT,https://www.youtube.com/embed/mnIsjV6mVG0
42,"Klaus Schulze","Velvet Voyage",1977,DE,https://www.youtube.com/embed/C-ATeFGN2Ss
41,Can,"Future Days (Carl Craig Blade Runner Mix)",1997,DE/US,https://www.youtube.com/embed/5Is8fF6EszM
40,"Pink Rhythm","Melodies of Love",1985,UK,https://www.youtube.com/embed/-3QHpUVjuK4
39,"Gold Blood","On the Run",2009,UK,
38,Annie,"Anthonio (Vaughn E Remix)",2009,NO,https://www.youtube.com/embed/zH43dKfGOsA
37,"Friendly Fires feat. Au Revoir Simone","Paris (Aeroplane Remix)",2008,BE/IT/UK/US,https://www.youtube.com/embed/tzicqExJW3A
36,"Morgan Geist",24K,2001,US,https://www.youtube.com/embed/0r1f8PhOmBg
35,Alisha,"Baby Talk",1985,US,https://www.youtube.com/embed/3OPS_CuW5io
34,Abakus,"Future Melt",2009,UK,
33,"Gold Blood","Another World",2009,UK,https://www.youtube.com/embed/EFNZU8gzGIU
32,"Asobi Seksu","Me & Mary",2009,US,https://www.youtube.com/embed/KYuDBdVj8_k
31,Hadamard,"I Want to Know",2007,NL,
30,"Mobius Band","The Loving Sounds of Static (Junior Boys Remix)",2006,CA/US,https://www.youtube.com/embed/9y2Wg8ZBIHY
29,Appaloosa,"Patchwork (Demo)",2008,FR,https://www.youtube.com/embed/Zqre3P_02MI
28,"Sally Shapiro","Let it Show",2009,SE,https://www.youtube.com/embed/emV6wPts4Oc
27,E.R.P.,Lodestone,2009,US,https://www.youtube.com/embed/6kFjbpxaizI
26,Spectrasoul,"Alibi (Break Remix)",2009,UK,https://www.youtube.com/embed/x91KROzEwBw
25,"Kings of the Universe","Acid Love",2009,SE,https://www.youtube.com/embed/AScQ1sOjyVk
24,"Friday Bridge","This Case is Closed (Johan Agebjörn Remix)",2009,SE,https://www.youtube.com/embed/PNXIguqfoNU
23,"Gold Blood","She Doesn't Learn",2009,UK,
22,Hadamard,"Spiritualisation of Cruelty",2007,NL,https://www.youtube.com/embed/TgyOKLTcUvc
21,Familjen,"Det lilla livet",2007,SE,https://www.youtube.com/embed/DNVf3_g1i08
20,"Donna Summer","Now I Need You",1977,US,https://www.youtube.com/embed/tHjgZwRNR9c
19,Dosem,"Beach Kisses (Rework)",2008,ES,https://www.youtube.com/embed/BQiht6zQNt4
18,Appaloosa,Intimate,2008,FR,https://www.youtube.com/embed/MNLl1SU19sM
17,"Telefon Tel Aviv","The Birds",2009,US,https://www.youtube.com/embed/AdAjAUcqSlY
16,"Bogdan Irkük a.k.a. Bulgari","Everything Is Changing",2008,SE,https://www.youtube.com/embed/uggyhEnYwGI
15,"52nd Street","Can't Afford",1984,UK,https://www.youtube.com/embed/Vhm2VJBmys4
14,"Barbara Morgenstern","Come to Berlin (Telefon Tel Aviv Mix)",2008,DE,https://www.youtube.com/embed/oheKoRmjSHk
13,"College feat. Electric Youth","She Never Came Back (Russ Chimes Remix)",2008,UK/US,https://www.youtube.com/embed/tqqYF84O--s
12,Luomo,"Love You All",2008,FI,https://www.youtube.com/embed/pr0jIfwWIkE
11,"Lykke Li","Breaking it Up (Familjen Remix)",2009,SE,https://www.youtube.com/embed/uJTvs1cN1xg
10,"Culoe De Song","The Bright Forest",2009,ZA,https://www.youtube.com/embed/GUjCQXREQHQ
9,Desire,"If I Can't Hold You",2009,US,https://www.youtube.com/embed/v1FuMLGRnP0
8,Moderat,"Rusty Nails",2009,DE,https://www.youtube.com/embed/DoxUiqUpkw4
7,"Guy Gerber",Timing,2009,IL,https://www.youtube.com/embed/XlBJR7ZELAM
6,E.R.P.,"Sensory Process",2009,US,https://www.youtube.com/embed/-2BOl6YdmNs
5,"House of House","Rushing to Paradise (Walkin' These Streets)",2009,US,https://www.youtube.com/embed/1GLJ7-SO4Ag
4,Appaloosa,"The Day (We Fell in Love)",2008,FR,https://www.youtube.com/embed/97rJA-VmlPk
3,Hardfloor,"The Life We Choose (E.R.P. Remix)",2008,DE/US,https://www.youtube.com/embed/1LQF8npb65o
2,Hardfloor,"The Trill Acid Theme (E.R.P. Remix)",2008,DE/US,
1,"Raiders of the Lost Arp",Azymuth,2008,IT,https://www.youtube.com/embed/oRQr3HrqLX8
