chart_pos,artist,title,release_year,country,link
100,"Xeno & Oaklander","Cold Forever",2007,US,https://www.youtube.com/embed/uGKpO6EbL9Y
99,"Kris Menace presents Fred Falke",Fairlight,2006,FR,https://www.youtube.com/embed/mNgVSqrSNWE
98,Cestrian,Mentor,2007,UK,
97,Ndesh,"Jetdaisuke FTW!!!",2009,SE,
96,"Saint Etienne","Method of Modern Love (Cola Boy Mix)",2009,UK,
95,"DJ Guy","Freak it All Night",2009,UK,https://www.youtube.com/embed/antIa9W2f3I
94,"Deadmau5 & Kaskade","I Remember",2008,CA/US,https://www.youtube.com/embed/zK1mLIeXwsQ
93,"Depeche Mode",Peace,2009,UK,https://www.youtube.com/embed/UBzViBgFwBA
92,Kettel,"The Wombat",2008,NL,https://www.youtube.com/embed/VZYcrdtmw04
91,Svreca,"Eye (Hadamard Remix)",2009,ES/NL,https://www.youtube.com/embed/Uk48ywZ-KNE
90,Kemal,"Mutationz (Part 3)",2001,UK,https://www.youtube.com/embed/Di3EtAK59xg
89,"Lazer Crystal","Love Rhombus (Instrumental)",2009,US,https://www.youtube.com/embed/hPoS-psrZeY
88,Kettel,"Palle's Popsong",2008,NL,https://www.youtube.com/embed/Djh3EOsLDH0
87,"Meek Rabbit","Sweetheart in England",1984,IT,https://www.youtube.com/embed/guOupLtusqY
86,Erstlaub,"Broadcasting on Ghost Frequencies (Part 1)",2009,UK,
85,"J.M. Silk","Shadows of Your Love (Ben Liebrand Minimix)",1986,NL/US,https://www.youtube.com/embed/LXeyaQfEdW4
84,Lime,"You're My Magician",1981,CA,https://www.youtube.com/embed/p13yUNcxxEc
83,"Rude 66","Walked The Line",2008,NL,https://www.youtube.com/embed/gFXGXV_3WxM
82,"Larry Young's Fuel","Turn Off The Lights",1975,US,https://www.youtube.com/embed/BdpGkCTwEhk
81,"Hud Mo",Ooops!,2008,UK,https://www.youtube.com/embed/H9LDK86b60U
80,Aeroplane,Caramellas,2007,BE/IT,https://www.youtube.com/embed/v-xQ9-F9Guo
79,"Melody Boy 2000","Monotone Fantastique (Monotone Mix)",1994,FI,https://www.youtube.com/embed/ymaa9LF-rjk
78,"Memory Cassette","Asleep at a Party",2009,US,https://www.youtube.com/embed/eOP-D48WUF8
77,Beni,"My Love Sees You (Classixx Remix)",2009,AU/US,
76,Datassette,"Weather Conditions",2009,UK,https://www.youtube.com/embed/S935pbYjlA8
75,"The Juan Maclean","Happy House",2008,US,https://www.youtube.com/embed/NfJYtbGPgQs
74,Brassica,"Ballo dei Morti",2009,UK,https://www.youtube.com/embed/pNm0Tf_FNNw
73,"Box Codax","Missed Her Kiss",2006,UK,https://www.youtube.com/embed/kqh5rr0InAA
72,"Gold Blood","Well City",2009,UK,
71,"Bat for Lashes",Daniel,2009,UK,https://www.youtube.com/embed/RcQiklJImwM
