release_year,num_tracks
2015,30
2014,20
2016,11
2013,11
2012,5
2011,4
2008,4
1987,3
2010,2
2002,2
2007,1
2006,1
2004,1
1991,1
1985,1
1983,1
1980,1
1976,1
