release_year,num_tracks
2011,109
2009,103
2012,94
2013,83
2006,61
2007,58
2010,57
2014,55
2008,55
2005,38
2004,36
2015,30
1983,24
1984,23
1982,14
1985,12
2016,11
2002,9
2001,7
1987,7
1986,7
2003,6
1999,6
1992,4
1980,4
1976,4
1981,3
1979,3
1977,3
2000,2
1997,2
1996,2
1994,2
1993,2
1991,2
1990,2
1989,2
1988,2
1998,1
1995,1
1978,1
1975,1
1974,1
1968,1
