code,name,num_tracks
US,"United States",30
UK,"United Kingdom",25
SE,Sweden,9
CA,Canada,7
DE,Germany,7
NO,Norway,6
IT,Italy,5
FR,France,4
NL,Netherlands,4
ES,Spain,3
AT,Austria,1
FI,Finland,1
LV,Latvia,1
NZ,"New Zealand",1
UA,Ukraine,1
