chart_pos,artist,title,release_year,country,link
72,AYYA,"Second Mistake",2017,?,https://www.youtube.com/embed/ryWw68LU6Ns
71,"Kap Bambino",Erase,2019,FR,https://www.youtube.com/embed/mbc9uj-Ml8w
70,Technikore,"Hold It, Check It",2016,UK,https://www.youtube.com/embed/jRb2S_TNej4
69,"Juan Atkins","Track Ten",2004,US,https://www.youtube.com/embed/d83LkglKVeQ
68,"Giuseppe Ottaviani","Panama (Extended Mix)",2019,IT,https://www.youtube.com/embed/RUaHPse4mCc
67,"Jones & Stephenson","The First Rebirth",1993,BE,https://www.youtube.com/embed/GqIHVJX8HRU
66,Aurelia,"When The Night Is Falling (Vampire’s Song) (Extended Version)",2001,DE,https://www.youtube.com/embed/fgU1LYrF-3o
65,"Mauro Picotto","Lizard (R.A.F. By Picotto Remix)",1999,IT,https://www.youtube.com/embed/d2CIbrwM24w
64,Alphazone,"Flashback (Cloudchaser Remix)",2004,DE/SE,https://www.youtube.com/embed/EJ1sl2lGUgo
63,"Phil Reynolds & Trevor McLachlan vs Technikal","Third Strike",2008,UK,https://www.youtube.com/embed/X64BX8qx_XQ
62,"Terrence Parker feat. Merachka","Just Like Muzik (Michele Chiavarini Remix)",2019,US,https://www.youtube.com/embed/F7S9aYcfvFo
61,"Butter Bullets","Alexander Shulgin",2017,FR,https://www.youtube.com/embed/Oz6hQwBHHvU
60,"Fraunhofer Diffraction",Understanding,2018,RU,https://www.youtube.com/embed/lW3S6CFYg-w
59,"Giuseppe Ottaviani & Driftmoon","Another Dimension (Transmission 2019 Theme) (Extended Mix)",2019,IT/SK,https://www.youtube.com/embed/-UHBXsij57c
58,"Soho Rezanejad","Catch The Girl",2015,DK,https://www.youtube.com/embed/9seEY58cADg
57,Technikore,Runaway,2010,UK,https://www.youtube.com/embed/GthduNj7ZDU
56,"Special Request","237,000 Miles",2019,UK,https://www.youtube.com/embed/qctIt1yryCU
55,"Xeno & Oaklander",Altamira,2019,US,https://www.youtube.com/embed/kfFzeN3ILgc
54,Re-Style,"Get It Crackin (Final 2013 Edit)",2013,NL,https://www.youtube.com/embed/Sua8vtCd_SY
53,Rammstein,Deutschland,2019,DE,https://www.youtube.com/embed/NeQM1c-XCDc
52,"Lin Pesto","Olsun İstemezdim",2018,TR,https://www.youtube.com/embed/yhuLIZcq6GE
51,Plant43,"Inward Stream",2019,UK,https://bandcamp.com/EmbeddedPlayer/album=1674383706/size=large/bgcol=333333/linkcol=ffffff/tracklist=false/artwork=small/track=3759010584/transparent=true/
50,KAS:ST,"Road To Nowhere",2019,FR,https://www.youtube.com/embed/qIY9boEt1uM
49,Obsys,"Night Reflection",2016,FR,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/290838479&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=true&amp;show_comments=false&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=false&amp;visual=true
48,Nomic,Shattered,2016,FI,https://www.youtube.com/embed/JenC1akj4k0
47,"Current Value & Abis","Portal Breach",2019,DE/NL,https://www.youtube.com/embed/LuDyXouc_Jo
46,Poisecore,"Sound Frequencies",2012,UK,https://www.youtube.com/embed/C_YV9acsoNc
45,"DJ Healer","At Last (Becalming The Storm)",2018,DE,https://www.youtube.com/embed/8hB_WMlyDEM
44,"Two D Impact",Morphan,2016,UK,https://www.youtube.com/embed/gA4YDQJXrbU
43,"At The Gates","Under A Serpent Sun",1995,SE,https://www.youtube.com/embed/dQt8RyGihu4
42,Egoprisme,"La plage",2018,FR,https://www.youtube.com/embed/vTKQr6wisX0
41,"Xeno & Oaklander","Angélique",2019,US,https://www.youtube.com/embed/TxN-OHdZSzU
40,Dopplereffekt,"Delta Wave",2014,US,https://www.youtube.com/embed/kJJAyYI0ixM
39,Brek,"Işıkları Yakıyor Gündüzün",2019,TR,https://www.youtube.com/embed/XA340_-TDok
38,RMB,Redemption,1994,DE,https://www.youtube.com/embed/vdq5LAMHuig
37,"Ferry Corsten & Nevve","Freefall (Club Mix Extended)",2019,NL/US,https://www.youtube.com/embed/KiWYgwxOLRA
36,"Jon Hopkins","Everything Connected (Stephan Hinz Remix)",2018,DE/UK,https://www.youtube.com/embed/6Q06UVtfCFc
35,"Marquis Hawkes feat. Jocelyn Brown","I'm So Glad (12"" Satisfied Mix)",2016,UK/US,https://www.youtube.com/embed/Qfl8N2kVpoM
34,"DJ Boring",Winona,2016,UK,https://www.youtube.com/embed/ar9qA3WJInk
33,"Nicholson & Skelton","Submerge (Extended Mix)",2019,UK,https://www.youtube.com/embed/pc6yNG8_tCg
32,"Boe Strummer x Maudit","Chanter pour ceux",2017,FR,https://www.youtube.com/embed/E6eFm3pI9xY
31,Chakra,"Home (Rank 1 Remix)",2000,NL/UK,https://www.youtube.com/embed/qcNOJUBtJiw
30,"Cult of Luna & Julie Christmas","Cygnus (Perturbator Remix)",2018,FR/SE/US,https://www.youtube.com/embed/gv7hFegk14o
29,Chromatics,Ceremony,2015,US,https://www.youtube.com/embed/RtcgGR2LlRA
28,ABSL,K,2017,FR,https://www.youtube.com/embed/KHyMFY0rxY8
27,"Rolo Tomassi",Rituals,2018,UK,https://www.youtube.com/embed/HhcF-3wBlEw
26,Gouryella,"Surga (Extended Mix)",2019,NL,https://www.youtube.com/embed/svdbMyN0tWM
25,"Special Request","Shepperton Moon Landing",2019,UK,https://www.youtube.com/embed/QLv61b8D8Hs
24,Djrum,"Hard To Say",2019,UK,https://www.youtube.com/embed/0YZcnBM0Iys
23,"Technikore & JTS vs Michael Mansion","Light Show",2017,AU/UK/US,https://www.youtube.com/embed/PVntuHz3NSw
22,"Better Person","Zakochany Człowiek",2017,PL,https://www.youtube.com/embed/WljEUb0815g
21,"Primitive Trust","Day One (Shanti Celeste Remix)",2017,UK,https://www.youtube.com/embed/jionkzdaXPQ
20,"Ofra Haza",Galbi,1988,IL,https://www.youtube.com/embed/sMyesUaMDc8
19,"Muddy Monk","Si l'on ride",2018,FR,https://www.youtube.com/embed/XDdNt4XKse8
18,"Tommy Cash",X-Ray,2018,EE/UK,https://www.youtube.com/embed/K5kD_vYnbe4
17,Brek,"Bugün Benim Biraz Şansa İhtiyacım Var",2019,TR,https://www.youtube.com/embed/jXV0DX5rnaE
16,"Angelic Touchdown feat. Anna Avallaneda","Marinero (Nu NRG Extended Mix)",2002,IT,https://www.youtube.com/embed/bV-yBGm4KRg
15,"Tibet Team Frankfurt","Chorus From Heaven",1997,DE,https://www.youtube.com/embed/7f6aBRP-CYg
14,Kettenkarussell,Maybe,2018,DE,https://www.youtube.com/embed/hpKlCKL9FsM
13,"Better Person",Sentiment,2016,PL,https://www.youtube.com/embed/vFsUdUuUxr8
12,"K-Series vs Technikal",Closer,2008,UK,https://www.youtube.com/embed/r-fk__BazEc
11,Makthaverskan,Comfort,2017,SE,https://www.youtube.com/embed/8--8YtB9c8U
10,"Prime Time Players","Don't Know How To Make You Happy",2018,UK,https://www.youtube.com/embed/P5kFm97c5g8
9,Dopplereffekt,Isotropy,2017,US,https://www.youtube.com/embed/HtV_-WmMzWo
8,"Ceephax Acid Crew","Capsule In Space",2012,UK,https://www.youtube.com/embed/klWZo7Nx4hw
7,Sambo,Mezmerize,2007,UK,https://www.youtube.com/embed/oNyxYW1SbwI
6,"Ben Stevens vs Sam & Deano","Rescue Me (Technikal Remix)",2010,UK,https://www.youtube.com/embed/ULB5wnnMWe0
5,Technikal,"Terminal Velocity",2009,UK,https://www.youtube.com/embed/cYu9Xq-e2MI
4,"DJ Healer","Planet Lonely",2018,DE,https://www.youtube.com/embed/ceP9MQwwxsA
3,"Caterina Barbieri",Fantas,2019,IT,https://www.youtube.com/embed/7VQAEAysPeA
2,"Code Black","Give You Up",2013,AU,https://www.youtube.com/embed/EUuZuNx5xaY
1,"Technikore feat. Natalie","It's Not Over",2010,UK,https://www.youtube.com/embed/F9BQEnRLpHQ
