chart_pos,artist,title,release_year,country,link
100,"DJ Healer","2 The Dark",2018,DE,https://www.youtube.com/embed/MEBS_IMPnrs
99,KAS:ST,Insomnia,2019,FR,https://www.youtube.com/embed/SOHvwHxI7kU
98,Buvette,"In Real Life",2019,FR,https://www.youtube.com/embed/pb4MwAF8Auo
97,"The Electronic Circus","Direct Lines",1981,UK,https://www.youtube.com/embed/8b1PZ-kMnDA
96,"Black Loops & Maik Yells",Duoling,2015,IT/UK,https://www.youtube.com/embed/oWnWHFxBaKM
95,"At The Gates","Blinded by Fear",1995,SE,https://www.youtube.com/embed/nCtjAmtIGf0
94,"Boy Harsher",Westerners,2017,US,https://www.youtube.com/embed/4WzNvsREvX4
93,Indecorum,"Fire In My Body Reloaded",2017,FR,https://www.youtube.com/embed/c4xF653lfCI
92,Chromatics,"Girls Just Wanna Have Some",2015,US,https://www.youtube.com/embed/pfjDNCQQaFU
91,Mogwai,"We're Not Done (End Title)",2018,UK,https://www.youtube.com/embed/K5rtIRHnRSI
90,Kurama,Boyzzdontcry,2017,FR,https://www.youtube.com/embed/wBE9UIPXPHM
89,"Rolo Tomassi","A Flood of Light",2017,UK,https://www.youtube.com/embed/H8q8wBWofqg
88,"Bolt Thrower","Granite Wall",2005,UK,https://www.youtube.com/embed/kdGR9lU6DBc
87,"Omar Souleyman","Ya Bnayya",2017,SY,https://www.youtube.com/embed/T4R6iFSYDZ0
86,"Альянс","На заре",1987,RU,https://www.youtube.com/embed/5sLpG4MG5J8
85,Krampf,Sorry,2017,FR,https://www.youtube.com/embed/XfkAiPsHw2Y
84,"DJ Seinfeld","Please Slow Down",2019,SE,https://www.youtube.com/embed/ygZME-3Y0JA
83,Chromatics,"Time Rider",2019,US,https://www.youtube.com/embed/dhDhPPcK6C4
82,"Paul Woolford","You Already Know (Extended D-Mix)",2019,UK,https://www.youtube.com/embed/il2q-1EfeuU
81,Deathprod,"Treetop Drive 3",1994,NO,https://www.youtube.com/embed/ZrivQXeKfAg
80,"Rhys Fulber","Inhabits Eternity",2018,CA,https://www.youtube.com/embed/ii8Rp0A-QU4
79,"SASSY 009","Are You Leaving",2017,NO,https://www.youtube.com/embed/dm1OX0qTB9A
78,"She Past Away","Durdu Dünya",2019,TR,https://www.youtube.com/embed/6DM_MnNgZkc
77,Serenade,"Floorfiller (Macks Wolf & Jekyll Remix)",2016,UK,https://www.youtube.com/embed/TqjhFmlx_zU
76,"Bolt Thrower",Entrenched,2005,UK,https://www.youtube.com/embed/LyRE3oRW1z4
75,Legowelt,"Alien Abduction",2016,NL,https://www.youtube.com/embed/scujvNuyu84
74,"Pastel Ghost",Iris,2018,US,https://www.youtube.com/embed/Peu7aTWfR5c
73,"Djedjotronic feat. Douglas McCarthy","Take Me Down",2018,FR/UK,https://www.youtube.com/embed/EPS3UpOW1JU
