code,name,num_tracks
US,"United States",22
DE,Germany,11
FR,France,4
NL,Netherlands,4
RU,Russia,4
IT,Italy,3
CA,Canada,2
SE,Sweden,2
ES,Spain,1
IE,Ireland,1
JP,Japan,1
LT,Lithuania,1
