code,name,num_tracks
IT,Italy,21
SE,Sweden,20
US,"United States",13
FR,France,10
NL,Netherlands,9
DE,Germany,8
ES,Spain,2
PL,Poland,2
BE,Belgium,1
JP,Japan,1
NO,Norway,1
